contig	ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC6	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-346-3p	miR-346-3p	4	9	7	0	5	8	3	8	1	4	2	8	4	8	1	7	1	3	1	0	7	0	3	9
miR-4290-5p	miR-4290-5p	4	2	7	10	18	8	14	46	5	10	15	8	4	3	2	2	15	16	1	32	0	15	9	1
miR-5687-5p	miR-5687-5p	4	18	5	0	3	6	11	4	15	16	1	4	2	1	19	9	19	1	3	18	18	9	10	1
miR-31-5p	miR-31-5p	4	624	524	147	1676	291	71	15	478	318	2206	614	2029	3345	519	1172	616	2333	267	21	657	400	423	2133
miR-4277-5p	miR-4277-5p	4	6	3	0	3	1	2	0	0	1	2	3	0	0	0	0	5	0	3	1	0	0	0	0
miR-622-5p	miR-622-5p	4	86	40	20	40	116	27	109	87	65	38	45	48	24	46	69	37	31	12	38	68	30	21	44
miR-5708-3p	miR-5708-3p	4	2	4	0	12	10	1	1	0	4	2	3	5	11	5	4	13	12	10	19	5	1	6	18
miR-6796-3p	miR-6796-3p	3	4	2	0	5	1	4	5	10	3	3	2	10	5	1	3	4	14	3	13	3	9	5	10
miR-498-5p	miR-498-5p	3	0	2	0	1	8	4	0	4	1	2	0	0	0	0	6	5	1	3	1	0	0	1	5
miR-8078-5p	miR-8078-5p	3	30	37	52	61	28	9	11	5	36	29	22	68	19	57	22	29	53	15	2	50	9.5	28	50
miR-3934-3p	miR-3934-3p	3	19	14	0	7	11.5	8	11	4.5	3	4	2	9	1	14	6	16	2	6	17	8	10	11	11
miR-6820-3p	miR-6820-3p	3	29	31	42	132	78	44	8	34	262	149	35	173	182	194	95	433	592	134	60	599	189	165	283
miR-219a-2-3p	miR-219a-2-3p	3	0	0	0	3	0	5	0	3	7	3	5	0	0	10	2	7	0	0	0	4	1	0	1
miR-135a-5p	miR-135a-5p	3	195	1028	28	1004	101	36	9	75	6035	1261	139	1683	2646	171	464	70	2185	166	24	1242	118	633	11754
miR-6832-3p	miR-6832-3p	3	3	3	0	5	14	0	4	2	5	6	9	3	4	2	6	5	0	9	3	3	15	10	16
miR-4741-3p	miR-4741-3p	3	6	9	3	5	4	13	8	14	7	12	2	8	12	16	0	6	6	4	0	14	7	1	6
miR-4285-3p	miR-4285-3p	3	0	0	7	6	3	3.5	2	3	0	5	11	4	4	7	0	0	3	0	12	1	3	5	5
miR-10226-5p	miR-10226-5p	3	14	0	1	0	5	1	0	0	3	2	3	7	0	0	1	1	2	2	9	0	3	3	2
miR-548d-2-5p	miR-548d-2-5p	3	10	3	0	5	6	11	13	30	14	19	9	12	15	13	15	13	12	6	21	11.5	13	7	26
miR-877-3p	miR-877-3p	3	13	8	5	16	7	11	28	4	20	16	17	19	27	42	3	19	24	12	10	7	6	7	24
miR-3614-3p	miR-3614-3p	3	48	30	41	85	282	14	31	40	41	42	10	23	51	57	55	31	23	11	4	10	22	21	36
miR-6124-5p	miR-6124-5p	3	3	1	0	2	4	10	26	3	0	4	0	4	4	3	5	8	2	2	7	7	8	4	2
miR-4800-5p	miR-4800-5p	3	2	6	0	0	2	3	0	0	2	0	5	4	0	1	0	0	0	7	0	0	0	5	7
miR-296-5p	miR-296-5p	3	13	3	88	35	31	7	7	13	2	56	9	59	20	32	2	26	44	17	5	38	0	9	83
miR-1231-3p	miR-1231-3p	3	3	0	0	12	2	2	10	0	24	4	11	5	2	2	0	7	41	4	4	42	20	23	6
miR-7973-1-5p	miR-7973-1-5p	3	7	0	0	3	2	0	1	0	2	0	0	1	6	0	0	6	0	0	0	2	1	0	0
miR-1915-3p	miR-1915-3p	3	1	0	0	6	5	0	5	0	2	0	2	0	13	11	4	5	5	0	3	11	2	0	2
miR-5787-3p	miR-5787-3p	3	0	3	0	2	8	2	0	1	2	1	2	0	1	10	0	0	0	0	4	3	4	0	0
miR-1228-5p	miR-1228-5p	3	0	2	0	5	3	1	3	4	0	2	4	4	0	3	2	3	0	0	12	4	2	0	0
miR-16-5p	miR-16-5p	3	7881	3432	7641	23497	17758	339	14	702	25012	7735	730	7835	62708	22737	6157	21446	14698	20899	68	11755	1344	6661	49849
miR-5705-3p	miR-5705-3p	3	4	5	20	5	5	6	4	2	1	5	0	3	5	12	1	16	9	4	0	1	2	8	1
miR-2861-3p	miR-2861-3p	3	5	5	25	10	6	3	4	12	4	10	6	11	13	9	8	10	12	6	3	3	12	12	19
miR-6884-3p	miR-6884-3p	2	0	0	0	2	0	0	2	0	2	3	0	2	1	0	0	2	1	1	4	0	0	2	0
miR-4518-3p	miR-4518-3p	2	1	0	0	3	7	0	1	0	2	1	1	2	1	3	4	3	0	2	0	0	0	2	11
miR-1237-3p	miR-1237-3p	2	7	1	0	1	4	7	5	19	6	7	2	9	1	17	4	5	10	1	5	18	7	4	5
